decision_date,action,change_bps,rate_after,XLK,XLF,XLE,XLV,XLY,XLP,XLI,XLB,XLRE,XLU,XLC
2022-01-26,hold,0,0.25,-7.98,-8.98,38.44,2.12,-13.36,-0.15,-3.63,6.5,-4.6,12.95,-14.45
2022-03-16,hike,25,0.5,-10.71,-14.65,4.37,-1.41,-14.93,1.04,-9.95,-9.89,-7.54,0.9,-17.53
2022-05-04,hike,50,1.0,-11.1,-6.97,-1.03,-3.92,-6.67,-7.41,-6.17,-13.54,-9.45,5.9,-15.84
2022-06-15,hike,75,1.75,-1.58,4.19,8.38,6.81,1.46,2.19,2.2,-6.49,-11.44,-2.97,-7.92
2022-07-27,hike,75,2.5,-3.01,9.45,22.15,6.32,-5.08,5.15,12.02,11.18,-7.69,1.03,-8.67
2022-09-21,hike,75,3.25,7.64,14.64,19.59,9.13,-2.8,5.08,16.7,20.49,7.21,-4.4,9.86
2022-11-02,hike,75,4.0,14.48,-6.04,-11.87,-2.86,2.8,2.61,5.28,5.5,5.02,2.0,16.98
2022-12-14,hike,50,4.5,9.42,-5.82,-0.77,-5.23,4.17,0.74,-2.95,-3.07,-5.05,-4.48,12.82
2023-02-01,hike,25,4.75,22.16,-8.9,-7.68,-1.93,8.55,-1.2,0.94,-6.46,-8.62,-3.54,15.08
2023-03-22,hike,25,5.0,24.97,13.67,11.64,6.52,21.05,5.34,14.88,12.43,10.5,3.76,24.07
2023-05-03,hike,25,5.25,15.28,9.03,18.75,-0.08,18.35,-5.81,6.65,4.45,1.27,-5.93,15.06
2023-06-14,hold,0,5.25,-4.4,-2.78,12.66,-1.45,-7.92,-7.81,-4.82,-7.02,-12.05,-11.7,4.46
2023-07-26,hike,25,5.5,5.63,2.11,-0.57,-2.52,-0.15,-6.0,-1.13,-1.73,-1.31,-6.37,4.73
2023-09-20,hold,0,5.5,21.47,14.34,-5.07,7.32,4.38,3.61,10.59,4.77,7.65,-3.0,17.24
2023-11-01,hold,0,5.5,25.13,27.0,7.34,17.88,17.75,13.18,24.86,20.73,20.35,6.81,22.55
2023-12-13,hold,0,5.5,3.97,11.5,18.91,4.44,-0.9,6.6,10.21,6.28,-5.38,2.98,14.63
2024-01-31,hold,0,5.5,9.52,7.01,9.58,5.07,4.5,7.2,9.03,9.5,0.76,16.23,11.81
2024-03-20,hold,0,5.5,0.28,5.93,1.65,3.66,0.96,3.43,1.99,0.07,7.14,13.42,4.15
2024-05-01,hold,0,5.5,8.48,10.67,-6.74,11.22,7.48,12.29,5.99,2.4,25.34,15.04,7.32
2024-06-12,hold,0,5.5,3.45,16.64,2.26,4.41,10.68,7.68,13.43,8.83,16.35,18.44,8.03
2024-07-31,hold,0,5.5,10.27,15.64,-1.54,-3.22,24.42,6.38,10.29,0.2,7.01,10.22,18.0
2024-09-18,cut,-50,5.0,7.08,14.37,3.74,-5.47,20.29,-3.81,5.37,-4.15,-7.06,-0.74,16.8
2024-11-07,cut,-25,4.75,-9.73,1.89,0.18,-1.24,-6.74,0.1,-5.45,-9.55,-2.81,2.2,1.25
2024-12-18,cut,-25,4.5,-7.95,3.16,-2.3,0.34,-12.84,2.42,0.64,-1.28,3.37,7.29,-1.27
2025-01-29,hold,0,4.5,3.54,-0.18,-6.11,-7.55,-7.14,3.88,5.41,0.22,2.83,5.87,1.81
2025-03-19,hold,0,4.5,23.3,7.27,-2.65,-7.71,14.46,3.05,15.01,5.02,3.44,8.65,9.94
2025-05-07,hold,0,4.5,26.42,8.68,12.37,1.64,21.9,-1.44,13.52,9.48,2.09,4.92,21.92
